location,displayName
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 25.7832631, 'longitude': -80.28141959999999}","{'text': 'Miami Limo - Fort Lauderdale Limo', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
"{'latitude': 26.1372727, 'longitude': -80.10926630000002}","{'text': 'Water Taxi Stop #7', 'languageCode': 'en'}"
