location,displayName
"{'latitude': 25.603476999999998, 'longitude': -80.3531371}","{'text': 'Busway & W Indigo St', 'languageCode': 'en'}"
"{'latitude': 25.773726999999997, 'longitude': -80.19562499999999}","{'text': 'SW 1 Av & SW 1 St - (Miami Bus Terminal)', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.562824, 'longitude': -80.385978}","{'text': 'Busway & SW 220 St', 'languageCode': 'en'}"
"{'latitude': 25.4618, 'longitude': -80.482258}","{'text': 'Busway & SW 328 St', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 26.154079, 'longitude': -80.328926}","{'text': 'BB&T Park & Ride', 'languageCode': 'en'}"
"{'latitude': 25.768205, 'longitude': -80.378424}","{'text': 'W Flagler St & SW 113 Av', 'languageCode': 'en'}"
"{'latitude': 25.764737999999998, 'longitude': -80.376601}","{'text': 'SW 4 St & SW 112 Av', 'languageCode': 'en'}"
"{'latitude': 25.603476999999998, 'longitude': -80.3531371}","{'text': 'Busway & W Indigo St', 'languageCode': 'en'}"
"{'latitude': 25.942467399999998, 'longitude': -80.33466059999999}","{'text': 'NW 186 St & NW 82 Av', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.522125, 'longitude': -80.425285}","{'text': 'Busway & SW 264 St', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.550944, 'longitude': -80.397376}","{'text': 'Busway & SW 232 St', 'languageCode': 'en'}"
"{'latitude': 25.471691, 'longitude': -80.475151}","{'text': 'Busway & NE 2 Dr', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.50633, 'longitude': -80.440792}","{'text': 'Busway & SW 280 St', 'languageCode': 'en'}"
"{'latitude': 25.562824, 'longitude': -80.385978}","{'text': 'Busway & SW 220 St', 'languageCode': 'en'}"
